group,team,pot,confederation,is_host
A,Mexico,1,CONCACAF,1
A,South Korea,2,AFC,0
A,South Africa,3,CAF,0
A,Czech Republic,4,UEFA,0
B,Canada,1,CONCACAF,1
B,Switzerland,2,UEFA,0
B,Qatar,3,AFC,0
B,Bosnia and Herzegovina,4,UEFA,0
C,Brazil,1,CONMEBOL,0
C,Morocco,2,CAF,0
C,Scotland,3,UEFA,0
C,Haiti,4,CONCACAF,0
D,United States,1,CONCACAF,1
D,Australia,2,AFC,0
D,Paraguay,3,CONMEBOL,0
D,Turkey,4,UEFA,0
E,Germany,1,UEFA,0
E,Ecuador,2,CONMEBOL,0
E,Ivory Coast,3,CAF,0
E,Curaçao,4,CONCACAF,0
F,Netherlands,1,UEFA,0
F,Japan,2,AFC,0
F,Tunisia,3,CAF,0
F,Sweden,4,UEFA,0
G,Belgium,1,UEFA,0
G,Egypt,2,CAF,0
G,Iran,3,AFC,0
G,New Zealand,4,OFC,0
H,Spain,1,UEFA,0
H,Uruguay,2,CONMEBOL,0
H,Saudi Arabia,3,AFC,0
H,Cape Verde,4,CAF,0
I,France,1,UEFA,0
I,Senegal,2,CAF,0
I,Norway,3,UEFA,0
I,Iraq,4,AFC,0
J,Argentina,1,CONMEBOL,0
J,Algeria,2,CAF,0
J,Austria,3,UEFA,0
J,Jordan,4,AFC,0
K,Portugal,1,UEFA,0
K,Colombia,2,CONMEBOL,0
K,Uzbekistan,3,AFC,0
K,DR Congo,4,CAF,0
L,England,1,UEFA,0
L,Croatia,2,UEFA,0
L,Panama,3,CONCACAF,0
L,Ghana,4,CAF,0
