edition,model,train_start,train_end,test_start,test_end,n_train,n_test,log_loss,brier,rps,accuracy,ece
2014,baseline_rates,2006-01-02,2014-06-10,2014-06-12,2014-07-13,8129,64,1.0583715923976953,0.6405807247882175,0.2388856063334419,0.453125,0.028853103087710663
2014,elo_static_pre_tournament,2006-01-02,2014-06-10,2014-06-12,2014-07-13,8129,64,1.0022513818438075,0.6007665993135687,0.21823534935699268,0.5625,0.094190433628692
2014,elo_features_live,2006-01-02,2014-06-10,2014-06-12,2014-07-13,8129,64,0.9661588455838597,0.5758013541164656,0.2062275193692284,0.578125,0.10918433582838011
2014,poisson_simple,2006-01-02,2014-06-10,2014-06-12,2014-07-13,8129,64,1.0668386588676304,0.6469725155192513,0.2399190707291306,0.484375,0.158521570490625
2014,bayesian_gamma_poisson,2006-01-02,2014-06-10,2014-06-12,2014-07-13,8129,64,1.0651964531831826,0.6458896433432145,0.2394847623417586,0.484375,0.15741381917665162
2014,ml_hist_gradient_boosting,2006-01-02,2014-06-10,2014-06-12,2014-07-13,8129,64,0.9705056006271889,0.5785473676265307,0.2067895872945949,0.625,0.1755223166355401
2018,baseline_rates,2006-01-02,2018-06-12,2018-06-14,2018-07-15,11907,64,1.0900659175732799,0.6644342717625524,0.2508290077818986,0.390625,0.08968070252792476
2018,elo_static_pre_tournament,2006-01-02,2018-06-12,2018-06-14,2018-07-15,11907,64,0.9824709357332406,0.5866645691119994,0.21147059104999347,0.546875,0.10061855637053904
2018,elo_features_live,2006-01-02,2018-06-12,2018-06-14,2018-07-15,11907,64,0.9774681599961744,0.5831986770371461,0.2094173106028605,0.546875,0.09834104676926725
2018,poisson_simple,2006-01-02,2018-06-12,2018-06-14,2018-07-15,11907,64,1.0152387172684578,0.6084340415314977,0.22207016108325686,0.546875,0.10723626391431743
2018,bayesian_gamma_poisson,2006-01-02,2018-06-12,2018-06-14,2018-07-15,11907,64,1.0155152193870967,0.6086453212661684,0.22218729373618687,0.546875,0.10817489533493352
2018,ml_hist_gradient_boosting,2006-01-02,2018-06-12,2018-06-14,2018-07-15,11907,64,0.98435524258611,0.5915837895204594,0.2139486235554403,0.53125,0.0745512565971681
2022,baseline_rates,2006-01-02,2022-11-19,2022-11-20,2022-12-18,15968,64,1.072307953419589,0.6496496170572609,0.23510051635083795,0.4375,0.04383767535070143
2022,elo_static_pre_tournament,2006-01-02,2022-11-19,2022-11-20,2022-12-18,15968,64,1.017666976076177,0.5997507671913429,0.2115422123720654,0.546875,0.13795570316883354
2022,elo_features_live,2006-01-02,2022-11-19,2022-11-20,2022-12-18,15968,64,1.0367518027576819,0.6103482976391755,0.21730565545315694,0.515625,0.0700862736787952
2022,poisson_simple,2006-01-02,2022-11-19,2022-11-20,2022-12-18,15968,64,1.0868461305443056,0.6571474248449511,0.23571797828793722,0.4375,0.07130254264855784
2022,bayesian_gamma_poisson,2006-01-02,2022-11-19,2022-11-20,2022-12-18,15968,64,1.0854446752193783,0.656300384137871,0.23541361950252918,0.4375,0.06959503479462698
2022,ml_hist_gradient_boosting,2006-01-02,2022-11-19,2022-11-20,2022-12-18,15968,64,1.0584626169100058,0.6250100677683595,0.2216503163378985,0.484375,0.06495756242431372
