group,team,p_1st,p_2nd,p_3rd,p_4th,p_qualify
A,Mexico,0.67124,0.2616,0.06356,0.0036,0.99162
A,South Korea,0.29912,0.5672,0.11278,0.0209,0.95896
A,Czech Republic,0.02384,0.10622,0.56162,0.30832,0.48772
A,South Africa,0.0058,0.06498,0.26204,0.66718,0.21474
B,Switzerland,0.55844,0.27042,0.12984,0.0413,0.93646
B,Canada,0.33382,0.41686,0.19184,0.05748,0.88962
B,Bosnia and Herzegovina,0.07108,0.21452,0.41832,0.29608,0.5748
B,Qatar,0.03666,0.0982,0.26,0.60514,0.29938
C,Brazil,0.58898,0.29732,0.09324,0.02046,0.9649
C,Morocco,0.32554,0.42966,0.18634,0.05846,0.9017
C,Scotland,0.06618,0.19152,0.43746,0.30484,0.52944
C,Haiti,0.0193,0.0815,0.28296,0.61624,0.2607
D,United States,0.57522,0.28286,0.1277,0.01422,0.98122
D,Turkey,0.2336,0.31766,0.27362,0.17512,0.74478
D,Australia,0.17082,0.28126,0.32106,0.22686,0.67524
D,Paraguay,0.02036,0.11822,0.27762,0.5838,0.29178
E,Germany,0.52156,0.31884,0.13728,0.02232,0.95406
E,Ecuador,0.35554,0.40076,0.2088,0.0349,0.9206
E,Ivory Coast,0.11506,0.24208,0.48054,0.16232,0.70526
E,Curaçao,0.00784,0.03832,0.17338,0.78046,0.14016
F,Netherlands,0.45704,0.3397,0.14678,0.05648,0.91308
F,Japan,0.42554,0.3526,0.15948,0.06238,0.90498
F,Sweden,0.06862,0.17194,0.354,0.40544,0.44962
F,Tunisia,0.0488,0.13576,0.33974,0.4757,0.39182
G,Belgium,0.50986,0.28468,0.14328,0.06218,0.9115
G,Iran,0.29896,0.33852,0.2328,0.12972,0.81416
G,Egypt,0.12932,0.23222,0.34682,0.29164,0.59878
G,New Zealand,0.06186,0.14458,0.2771,0.51646,0.38354
H,Spain,0.79086,0.18378,0.02264,0.00272,0.99436
H,Uruguay,0.18554,0.58802,0.1716,0.05484,0.89104
H,Saudi Arabia,0.0153,0.13526,0.44246,0.40698,0.38272
H,Cape Verde,0.0083,0.09294,0.3633,0.53546,0.27912
I,France,0.6464,0.2315,0.09612,0.02598,0.9598
I,Norway,0.16996,0.3267,0.3099,0.19344,0.71506
I,Senegal,0.15022,0.32256,0.33428,0.19294,0.70872
I,Iraq,0.03342,0.11924,0.2597,0.58764,0.30638
J,Argentina,0.74648,0.18582,0.05552,0.01218,0.98114
J,Algeria,0.12316,0.36262,0.33156,0.18266,0.71632
J,Austria,0.10654,0.3252,0.34688,0.22138,0.66188
J,Jordan,0.02382,0.12636,0.26604,0.58378,0.30414
K,Portugal,0.4863,0.34582,0.1281,0.03978,0.93472
K,Colombia,0.42306,0.3854,0.14626,0.04528,0.92164
K,Uzbekistan,0.06576,0.17666,0.4251,0.33248,0.5107
K,DR Congo,0.02488,0.09212,0.30054,0.58246,0.28848
L,England,0.58618,0.29644,0.0993,0.01808,0.96622
L,Croatia,0.32216,0.42318,0.20026,0.0544,0.89536
L,Panama,0.07988,0.21708,0.45522,0.24782,0.58692
L,Ghana,0.01178,0.0633,0.24522,0.6797,0.20466
